Freq.	V(vout)/(V(v1)-V(v2))
6.16595001861477e+004	(4.22992998020094e+001dB,-1.79980543269294e+002°)
6.30957344480187e+004	(4.22993123674482e+001dB,-1.79980094560693e+002°)
6.45654229034650e+004	(4.22993185636091e+001dB,-1.79979635460025e+002°)
6.60693448007590e+004	(4.22993331560165e+001dB,-1.79979166158967e+002°)
6.76082975391975e+004	(4.22993455807755e+001dB,-1.79978686266097e+002°)
6.91830970918930e+004	(4.22993580782670e+001dB,-1.79978195524645e+002°)
7.07945784384131e+004	(4.22993729936417e+001dB,-1.79977693835859e+002°)
7.24435960074983e+004	(4.22993800645420e+001dB,-1.79977180753928e+002°)
7.41310241300911e+004	(4.22993945594966e+001dB,-1.79976656370938e+002°)
7.58577575029177e+004	(4.22994191543976e+001dB,-1.79976120119075e+002°)
7.76247116628685e+004	(4.22994057843678e+001dB,-1.79975571917549e+002°)
7.94328234724274e+004	(4.22994336501863e+001dB,-1.79975011672473e+002°)
8.12830516164092e+004	(4.22994549382574e+001dB,-1.79974438936744e+002°)
8.31763771102663e+004	(4.22994601184112e+001dB,-1.79973853470802e+002°)
8.51138038202369e+004	(4.22994906472460e+001dB,-1.79973255084571e+002°)
8.70963589956073e+004	(4.22995118502590e+001dB,-1.79972643569387e+002°)
8.91250938133737e+004	(4.22995273420461e+001dB,-1.79972018515701e+002°)
9.12010839355901e+004	(4.22995408990473e+001dB,-1.79971379725134e+002°)
9.33254300796982e+004	(4.22995564526153e+001dB,-1.79970727105743e+002°)
9.54992586021427e+004	(4.22995781138775e+001dB,-1.79970060252904e+002°)
9.77237220955802e+004	(4.22996101607798e+001dB,-1.79969378763896e+002°)
9.99999999999991e+004	(4.22996316399809e+001dB,-1.79968682670604e+002°)
1.02329299228074e+005	(4.22996599114278e+001dB,-1.79967971615294e+002°)
1.04712854805089e+005	(4.22996744093320e+001dB,-1.79967245207742e+002°)
1.07151930523760e+005	(4.22997056160981e+001dB,-1.79966503352464e+002°)
1.09647819614317e+005	(4.22997333692295e+001dB,-1.79965745555085e+002°)
1.12201845430195e+005	(4.22997631613823e+001dB,-1.79964971732176e+002°)
1.14815362149687e+005	(4.22998007056520e+001dB,-1.79964181593525e+002°)
1.17489755493952e+005	(4.22998138159574e+001dB,-1.79963374900916e+002°)
1.20226443461740e+005	(4.22998595348469e+001dB,-1.79962551159764e+002°)
1.23026877081237e+005	(4.22998934537505e+001dB,-1.79961710393505e+002°)
1.25892541179416e+005	(4.22999349861216e+001dB,-1.79960852162280e+002°)
1.28824955169312e+005	(4.22999656763650e+001dB,-1.79959976488380e+002°)
1.31825673855639e+005	(4.23000054820457e+001dB,-1.79959082833776e+002°)
1.34896288259164e+005	(4.23000492107994e+001dB,-1.79958170966878e+002°)
1.38038426460287e+005	(4.23000919782331e+001dB,-1.79957240760325e+002°)
1.41253754462274e+005	(4.23001418888469e+001dB,-1.79956292150039e+002°)
1.44543977074591e+005	(4.23001819515323e+001dB,-1.79955324422351e+002°)
1.47910838816819e+005	(4.23002336150367e+001dB,-1.79954337791813e+002°)
1.51356124843619e+005	(4.23002932284812e+001dB,-1.79953331928635e+002°)
1.54881661891247e+005	(4.23003447583764e+001dB,-1.79952306747939e+002°)
1.58489319246110e+005	(4.23004106463606e+001dB,-1.79951261220111e+002°)
1.62181009735891e+005	(4.23004501256618e+001dB,-1.79950196479692e+002°)
1.65958690743754e+005	(4.23005244537177e+001dB,-1.79949111618294e+002°)
1.69824365246173e+005	(4.23005808630650e+001dB,-1.79948006543267e+002°)
1.73780082874936e+005	(4.23006559090436e+001dB,-1.79946881471715e+002°)
1.77827941003890e+005	(4.23007229720855e+001dB,-1.79945735825837e+002°)
1.81970085860996e+005	(4.23008066378630e+001dB,-1.79944569550215e+002°)
1.86208713666285e+005	(4.23008810101245e+001dB,-1.79943383112217e+002°)
1.90546071796323e+005	(4.23009460219293e+001dB,-1.79942175459974e+002°)
1.94984459975802e+005	(4.23010400857653e+001dB,-1.79940947899332e+002°)
1.99526231496886e+005	(4.23011257267441e+001dB,-1.79939699554233e+002°)
2.04173794466951e+005	(4.23012039780998e+001dB,-1.79938430428983e+002°)
2.08929613085402e+005	(4.23013144111094e+001dB,-1.79937141016891e+002°)
2.13796208950221e+005	(4.23014079293679e+001dB,-1.79935830760747e+002°)
2.18776162394953e+005	(4.23015120918985e+001dB,-1.79934500490224e+002°)
2.23872113856832e+005	(4.23016166745125e+001dB,-1.79933150132243e+002°)
2.29086765276775e+005	(4.23017245372039e+001dB,-1.79931779919795e+002°)
2.34422881531990e+005	(4.23018387781765e+001dB,-1.79930389880001e+002°)
2.39883291901946e+005	(4.23019756264049e+001dB,-1.79928980568603e+002°)
2.45470891568500e+005	(4.23021006851049e+001dB,-1.79927552129821e+002°)
2.51188643150955e+005	(4.23022307237298e+001dB,-1.79926104910920e+002°)
2.57039578276884e+005	(4.23023573221101e+001dB,-1.79924639680546e+002°)
2.63026799189535e+005	(4.23024977174261e+001dB,-1.79923157009417e+002°)
2.69153480392689e+005	(4.23026438788411e+001dB,-1.79921656204256e+002°)
2.75422870333814e+005	(4.23028007066188e+001dB,-1.79920139619422e+002°)
2.81838293126442e+005	(4.23029605117486e+001dB,-1.79918606979731e+002°)
2.88403150312657e+005	(4.23031156372724e+001dB,-1.79917059262400e+002°)
2.95120922666635e+005	(4.23032966464585e+001dB,-1.79915497182215e+002°)
3.01995172040198e+005	(4.23034704973635e+001dB,-1.79913921683990e+002°)
3.09029543251356e+005	(4.23036549968835e+001dB,-1.79912333573041e+002°)
3.16227766016834e+005	(4.23038550523738e+001dB,-1.79910734163789e+002°)
3.23593656929625e+005	(4.23040499661797e+001dB,-1.79909124506377e+002°)
3.31131121482587e+005	(4.23042569562002e+001dB,-1.79907505201078e+002°)
3.38844156139199e+005	(4.23044675079840e+001dB,-1.79905878048952e+002°)
3.46736850452528e+005	(4.23046853851611e+001dB,-1.79904244560819e+002°)
3.54813389233571e+005	(4.23049011847238e+001dB,-1.79902605893045e+002°)
