Freq.	-V(n005)/I(V1)
4.60193000367232e+004	(9.63096941670822e+001dB,1.13140436390830e+000°)
4.61253854794862e+004	(9.63131996392161e+001dB,1.12741058576901e+000°)
4.62317154744513e+004	(9.63166531295390e+001dB,1.12340412973966e+000°)
4.63382905853696e+004	(9.63200557127893e+001dB,1.11938666412024e+000°)
4.64451113772918e+004	(9.63234084354347e+001dB,1.11535977319963e+000°)
4.65521784165710e+004	(9.63267123165559e+001dB,1.11132496136508e+000°)
4.66594922708661e+004	(9.63299683486997e+001dB,1.10728365699844e+000°)
4.67670535091443e+004	(9.63331774987013e+001dB,1.10323721617087e+000°)
4.68748627016848e+004	(9.63363407084782e+001dB,1.09918692614741e+000°)
4.69829204200810e+004	(9.63394588957961e+001dB,1.09513400871182e+000°)
4.70912272372443e+004	(9.63425329550079e+001dB,1.09107962332184e+000°)
4.71997837274066e+004	(9.63455637577675e+001dB,1.08702487010391e+000°)
4.73085904661237e+004	(9.63485521537186e+001dB,1.08297079269637e+000°)
4.74176480302780e+004	(9.63514989711593e+001dB,1.07891838094928e+000°)
4.75269569980818e+004	(9.63544050176842e+001dB,1.07486857348869e+000°)
4.76365179490805e+004	(9.63572710808047e+001dB,1.07082226015260e+000°)
4.77463314641552e+004	(9.63600979285473e+001dB,1.06678028430563e+000°)
4.78563981255264e+004	(9.63628863100324e+001dB,1.06274344503877e+000°)
4.79667185167565e+004	(9.63656369560324e+001dB,1.05871249926046e+000°)
4.80772932227532e+004	(9.63683505795122e+001dB,1.05468816368460e+000°)
4.81881228297727e+004	(9.63710278761500e+001dB,1.05067111672111e+000°)
4.82992079254224e+004	(9.63736695248417e+001dB,1.04666200027406e+000°)
4.84105490986644e+004	(9.63762761881883e+001dB,1.04266142145227e+000°)
4.85221469398187e+004	(9.63788485129660e+001dB,1.03866995419681e+000°)
4.86340020405658e+004	(9.63813871305823e+001dB,1.03468814082998e+000°)
4.87461149939504e+004	(9.63838926575154e+001dB,1.03071649352953e+000°)
4.88584863943841e+004	(9.63863656957404e+001dB,1.02675549573218e+000°)
4.89711168376490e+004	(9.63888068331405e+001dB,1.02280560347001e+000°)
4.90840069209004e+004	(9.63912166439055e+001dB,1.01886724664308e+000°)
4.91971572426704e+004	(9.63935956889166e+001dB,1.01494083023165e+000°)
4.93105684028706e+004	(9.63959445161193e+001dB,1.01102673545090e+000°)
4.94242410027957e+004	(9.63982636608840e+001dB,1.00712532085127e+000°)
4.95381756451267e+004	(9.64005536463549e+001dB,1.00323692336692e+000°)
4.96523729339335e+004	(9.64028149837876e+001dB,9.99361859315041e-001°)
4.97668334746789e+004	(9.64050481728764e+001dB,9.95500425348484e-001°)
4.98815578742212e+004	(9.64072537020706e+001dB,9.91652899363924e-001°)
4.99965467408178e+004	(9.64094320488810e+001dB,9.87819541367879e-001°)
5.01118006841282e+004	(9.64115836801768e+001dB,9.84000594302539e-001°)
5.02273203152174e+004	(9.64137090524729e+001dB,9.80196284833502e-001°)
5.03431062465589e+004	(9.64158086122088e+001dB,9.76406824101173e-001°)
5.04591590920382e+004	(9.64178827960177e+001dB,9.72632408437676e-001°)
5.05754794669560e+004	(9.64199320309884e+001dB,9.68873220050913e-001°)
5.06920679880312e+004	(9.64219567349182e+001dB,9.65129427677357e-001°)
5.08089252734047e+004	(9.64239573165588e+001dB,9.61401187205117e-001°)
5.09260519426421e+004	(9.64259341758536e+001dB,9.57688642268684e-001°)
5.10434486167374e+004	(9.64278877041690e+001dB,9.53991924816695e-001°)
5.11611159181160e+004	(9.64298182845174e+001dB,9.50311155654043e-001°)
5.12790544706383e+004	(9.64317262917744e+001dB,9.46646444959514e-001°)
5.13972648996027e+004	(9.64336120928891e+001dB,9.42997892780148e-001°)
5.15157478317492e+004	(9.64354760470876e+001dB,9.39365589503380e-001°)
5.16345038952624e+004	(9.64373185060713e+001dB,9.35749616308034e-001°)
5.17535337197752e+004	(9.64391398142083e+001dB,9.32150045595165e-001°)
5.18728379363719e+004	(9.64409403087202e+001dB,9.28566941399668e-001°)
5.19924171775915e+004	(9.64427203198622e+001dB,9.25000359783584e-001°)
5.21122720774314e+004	(9.64444801710986e+001dB,9.21450349211891e-001°)
5.22324032713501e+004	(9.64462201792734e+001dB,9.17916950911686e-001°)
5.23528113962714e+004	(9.64479406547749e+001dB,9.14400199215416e-001°)
5.24734970905872e+004	(9.64496419016963e+001dB,9.10900121888989e-001°)
