Freq.	V(vo)
2.47759317306073e+004	(-3.22644570250335e+001dB,1.61897989366677e+002°)
2.48330461518481e+004	(-3.21506191375826e+001dB,1.61779807177646e+002°)
2.48902922354276e+004	(-3.20361386399437e+001dB,1.61660136905398e+002°)
2.49476702848587e+004	(-3.19210074570455e+001dB,1.61538949581439e+002°)
2.50051806043543e+004	(-3.18052173732551e+001dB,1.61416215484536e+002°)
2.50628234988282e+004	(-3.16887600293033e+001dB,1.61291904116393e+002°)
2.51205992738974e+004	(-3.15716269191322e+001dB,1.61165984176387e+002°)
2.51785082358832e+004	(-3.14538093866663e+001dB,1.61038423535333e+002°)
2.52365506918133e+004	(-3.13352986225022e+001dB,1.60909189208223e+002°)
2.52947269494229e+004	(-3.12160856605176e+001dB,1.60778247325897e+002°)
2.53530373171568e+004	(-3.10961613743958e+001dB,1.60645563105605e+002°)
2.54114821041707e+004	(-3.09755164740651e+001dB,1.60511100820396e+002°)
2.54700616203331e+004	(-3.08541415020507e+001dB,1.60374823767294e+002°)
2.55287761762267e+004	(-3.07320268297370e+001dB,1.60236694234189e+002°)
2.55876260831503e+004	(-3.06091626535386e+001dB,1.60096673465411e+002°)
2.56466116531203e+004	(-3.04855389909783e+001dB,1.59954721625890e+002°)
2.57057331988722e+004	(-3.03611456766695e+001dB,1.59810797763865e+002°)
2.57649910338625e+004	(-3.02359723582027e+001dB,1.59664859772066e+002°)
2.58243854722705e+004	(-3.01100084919320e+001dB,1.59516864347288e+002°)
2.58839168289996e+004	(-2.99832433386618e+001dB,1.59366766948292e+002°)
2.59435854196790e+004	(-2.98556659592312e+001dB,1.59214521751945e+002°)
2.60033915606656e+004	(-2.97272652099940e+001dB,1.59060081607528e+002°)
2.60633355690458e+004	(-2.95980297381940e+001dB,1.58903397989101e+002°)
2.61234177626367e+004	(-2.94679479772321e+001dB,1.58744420945857e+002°)
2.61836384599880e+004	(-2.93370081418263e+001dB,1.58583099050347e+002°)
