time	V(v2)	V(vout)
1.764163660587906e-006	-9.959441e-002	-2.932704e-002
1.773371249873620e-006	-9.891537e-002	-2.915761e-002
1.781323258802191e-006	-9.805206e-002	-2.893705e-002
1.789275267730762e-006	-9.695262e-002	-2.865140e-002
1.797227276659334e-006	-9.561706e-002	-2.830064e-002
1.805179285587905e-006	-9.404539e-002	-2.788480e-002
1.813131294516476e-006	-9.223758e-002	-2.740385e-002
1.821083303445048e-006	-9.019366e-002	-2.685781e-002
1.829035312373619e-006	-8.791362e-002	-2.624667e-002
1.839079955230762e-006	-8.469413e-002	-2.538045e-002
1.849124598087905e-006	-8.117595e-002	-2.442618e-002
1.859169240945047e-006	-7.735906e-002	-2.338386e-002
1.869213883802190e-006	-7.324348e-002	-2.225347e-002
1.879258526659333e-006	-6.882920e-002	-2.103503e-002
1.889303169516475e-006	-6.411622e-002	-1.972854e-002
1.899347812373618e-006	-5.910454e-002	-1.833398e-002
1.909810982016475e-006	-5.361409e-002	-1.679600e-002
1.920274151659332e-006	-4.795528e-002	-1.519956e-002
1.930737321302189e-006	-4.212810e-002	-1.354467e-002
1.941200490945046e-006	-3.613256e-002	-1.183132e-002
1.951663660587903e-006	-2.996865e-002	-1.005951e-002
1.962126830230760e-006	-2.363638e-002	-8.229245e-003
1.972589999873617e-006	-1.713575e-002	-6.340524e-003
1.977612321302189e-006	-1.401124e-002	-5.427706e-003
1.982634642730760e-006	-1.088058e-002	-4.510404e-003
1.987656964159331e-006	-7.743791e-003	-3.588620e-003
1.992679285587903e-006	-4.600859e-003	-2.662352e-003
1.997701607016474e-006	-1.451786e-003	-1.731602e-003
2.002723928445045e-006	1.703427e-003	-7.963678e-004
2.007746249873617e-006	4.864779e-003	1.433492e-004
2.012350044516474e-006	7.757310e-003	1.005601e-003
2.016953839159331e-006	1.063736e-002	1.866293e-003
2.021557633802188e-006	1.350492e-002	2.725426e-003
2.026161428445045e-006	1.636000e-002	3.583001e-003
2.030765223087902e-006	1.920260e-002	4.439016e-003
2.035369017730759e-006	2.203271e-002	5.293473e-003
2.039972812373617e-006	2.485034e-002	6.146370e-003
2.044576607016474e-006	2.764691e-002	6.995090e-003
2.049180401659331e-006	3.041463e-002	7.837033e-003
2.053784196302188e-006	3.315350e-002	8.672200e-003
2.058387990945045e-006	3.586353e-002	9.500589e-003
2.062991785587902e-006	3.854470e-002	1.032220e-002
2.067595580230759e-006	4.119703e-002	1.113704e-002
2.072199374873616e-006	4.382050e-002	1.194509e-002
2.078058749873616e-006	4.710949e-002	1.296114e-002
2.083918124873616e-006	5.032404e-002	1.395695e-002
2.089777499873616e-006	5.346415e-002	1.493255e-002
2.095636874873616e-006	5.652982e-002	1.588792e-002
2.101496249873616e-006	5.952106e-002	1.682308e-002
2.107355624873616e-006	6.243786e-002	1.773801e-002
2.113214999873616e-006	6.528023e-002	1.863271e-002
2.117818794516473e-006	6.744777e-002	1.931692e-002
2.122422589159330e-006	6.955462e-002	1.998354e-002
2.127026383802187e-006	7.160078e-002	2.063259e-002
2.131630178445044e-006	7.358625e-002	2.126405e-002
2.136233973087901e-006	7.551104e-002	2.187793e-002
2.140837767730758e-006	7.737513e-002	2.247424e-002
2.145441562373615e-006	7.917853e-002	2.305296e-002
2.151719464159329e-006	8.153292e-002	2.381138e-002
2.157997365945044e-006	8.375245e-002	2.452929e-002
2.164275267730758e-006	8.583713e-002	2.520669e-002
2.170553169516472e-006	8.778695e-002	2.584357e-002
2.176831071302186e-006	8.960191e-002	2.643993e-002
2.183108973087901e-006	9.128202e-002	2.699578e-002
2.189386874873615e-006	9.282728e-002	2.751112e-002
2.196501830230757e-006	9.440093e-002	2.804096e-002
2.203616785587900e-006	9.578020e-002	2.851105e-002
2.210731740945043e-006	9.696511e-002	2.892137e-002
2.217846696302186e-006	9.795565e-002	2.927192e-002
2.224961651659329e-006	9.875182e-002	2.956272e-002
2.232076607016472e-006	9.935361e-002	2.979374e-002
2.239191562373614e-006	9.976104e-002	2.996501e-002
2.245469464159328e-006	9.995022e-002	3.006321e-002
2.251747365945042e-006	9.998448e-002	3.011338e-002
2.258025267730757e-006	9.986383e-002	3.011552e-002
2.264303169516471e-006	9.958826e-002	3.006962e-002
2.270581071302185e-006	9.915778e-002	2.997570e-002
2.276858973087900e-006	9.857238e-002	2.983374e-002
2.283136874873614e-006	9.783206e-002	2.964375e-002
2.288577723087899e-006	9.706540e-002	2.944022e-002
2.294018571302185e-006	9.618825e-002	2.920248e-002
2.299459419516471e-006	9.520062e-002	2.893052e-002
2.304900267730756e-006	9.410250e-002	2.862433e-002
2.310341115945042e-006	9.289391e-002	2.828393e-002
2.315781964159328e-006	9.157483e-002	2.790930e-002
2.321222812373613e-006	9.014527e-002	2.750046e-002
2.331267455230756e-006	8.719945e-002	2.665059e-002
2.341312098087899e-006	8.394250e-002	2.570521e-002
2.351356740945041e-006	8.037442e-002	2.466430e-002
2.361401383802184e-006	7.649522e-002	2.352787e-002
2.371446026659327e-006	7.230488e-002	2.229593e-002
2.381490669516470e-006	6.780342e-002	2.096846e-002
2.391535312373612e-006	6.299082e-002	1.954547e-002
2.402417008802184e-006	5.746745e-002	1.791012e-002
2.413298705230755e-006	5.174515e-002	1.621452e-002
2.424180401659326e-006	4.582390e-002	1.445867e-002
2.435062098087898e-006	3.970372e-002	1.264256e-002
2.445943794516469e-006	3.338459e-002	1.076621e-002
2.456825490945040e-006	2.686653e-002	8.829598e-003
2.467707187373611e-006	2.014953e-002	6.832737e-003
2.472729508802183e-006	1.704159e-002	5.908806e-003
2.477751830230754e-006	1.392446e-002	4.981977e-003
2.482774151659326e-006	1.079815e-002	4.052250e-003
2.487796473087897e-006	7.662661e-003	3.119626e-003
2.492818794516469e-006	4.517989e-003	2.184104e-003
2.497841115945040e-006	1.364135e-003	1.245684e-003
2.502863437373611e-006	-1.798901e-003	3.043661e-004
2.507467232016468e-006	-4.695694e-003	-5.578903e-004
2.512071026659325e-006	-7.582544e-003	-1.417438e-003
2.516674821302182e-006	-1.045945e-002	-2.274277e-003
2.521278615945039e-006	-1.332642e-002	-3.128407e-003
2.525882410587897e-006	-1.618344e-002	-3.979828e-003
2.530486205230753e-006	-1.903052e-002	-4.828541e-003
2.535089999873611e-006	-2.186766e-002	-5.674544e-003
2.540112321302182e-006	-2.494268e-002	-6.591847e-003
2.545134642730753e-006	-2.798540e-002	-7.500035e-003
2.550156964159325e-006	-3.099580e-002	-8.399108e-003
2.555179285587896e-006	-3.397389e-002	-9.289067e-003
2.560201607016468e-006	-3.691966e-002	-1.016991e-002
2.565223928445039e-006	-3.983312e-002	-1.104164e-002
2.570246249873610e-006	-4.271426e-002	-1.190426e-002
2.576105624873610e-006	-4.602362e-002	-1.289594e-002
2.581964999873610e-006	-4.925994e-002	-1.386689e-002
