Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
2.95120922666636e+004	1.87202266004961e+004,1.92218069110795e+003
3.01995172040199e+004	1.87390293988690e+004,1.83867598832240e+003
3.09029543251356e+004	1.87568238791209e+004,1.75590952317220e+003
3.16227766016835e+004	1.87736439497543e+004,1.67385409532141e+003
3.23593656929625e+004	1.87895217942945e+004,1.59248190769815e+003
3.31131121482588e+004	1.88044879116881e+004,1.51176461848323e+003
3.38844156139199e+004	1.88185711555652e+004,1.43167338933119e+003
3.46736850452528e+004	1.88317987722602e+004,1.35217893006668e+003
3.54813389233572e+004	1.88441964375015e+004,1.27325154007808e+003
3.63078054770098e+004	1.88557882916885e+004,1.19486114663281e+003
3.71535229097169e+004	1.88665969736885e+004,1.11697734032295e+003
3.80189396320557e+004	1.88766436530929e+004,1.03956940784561e+003
3.89045144994277e+004	1.88859480608820e+004,9.62606362317671e+002
3.98107170553493e+004	1.88945285184548e+004,8.86056971309038e+002
4.07380277804108e+004	1.89024019649880e+004,8.09889782780404e+002
4.16869383470331e+004	1.89095839830925e+004,7.34073149102321e+002
4.26579518801588e+004	1.89160888227444e+004,6.58575249322138e+002
4.36515832240161e+004	1.89219294234688e+004,5.83364109848800e+002
4.46683592150958e+004	1.89271174347626e+004,5.08407623707020e+002
4.57088189614870e+004	1.89316632347437e+004,4.33673568523852e+002
4.67735141287193e+004	1.89355759470189e+004,3.59129623391612e+002
4.78630092322633e+004	1.89388634557665e+004,2.84743384754479e+002
4.89778819368441e+004	1.89415324190306e+004,2.10482381465369e+002
5.01187233627267e+004	1.89435882802295e+004,1.36314089143206e+002
5.12861383991359e+004	1.89450352778794e+004,6.22059439800303e+001
5.24807460249767e+004	1.89458764535428e+004,-1.18746438789742e+001
5.37031796370247e+004	1.89461136580039e+004,-8.59602772452778e+001
5.49540873857619e+004	1.89457475556866e+004,-1.60083558952666e+002
5.62341325190343e+004	1.89447776273250e+004,-2.34277078955042e+002
5.75439937337151e+004	1.89432021708994e+004,-3.08573401322004e+002
5.88843655355583e+004	1.89410183008570e+004,-3.83005051003363e+002
6.02559586074351e+004	1.89382219456344e+004,-4.57604500236898e+002
6.16595001861475e+004	1.89348078435047e+004,-5.32404154465885e+002
6.30957344480186e+004	1.89307695367721e+004,-6.07436337635367e+002
