Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
1.26191468896038e+003	(4.72459031260852e+001dB,-6.97613848127343e+000°)
1.29130845806930e+003	(4.73030094428869e+001dB,-6.73160678873355e+000°)
1.32138689601518e+003	(4.73582054368794e+001dB,-6.51783341435330e+000°)
1.35216595078396e+003	(4.74114768166063e+001dB,-6.33236573613200e+000°)
1.38366194183787e+003	(4.74628303127888e+001dB,-6.17299077021773e+000°)
1.41589156876827e+003	(4.75122890951471e+001dB,-6.03771685136303e+000°)
1.44887192014997e+003	(4.75598890107605e+001dB,-5.92475586577267e+000°)
1.48262048260183e+003	(4.76056755060796e+001dB,-5.83250637636544e+000°)
1.51715515005836e+003	(4.76497011150263e+001dB,-5.75953784335337e+000°)
1.55249423325738e+003	(4.76920234137511e+001dB,-5.70457604571198e+000°)
1.58865646944855e+003	(4.77327033584542e+001dB,-5.66648974147868e+000°)
1.62566103232819e+003	(4.77718039362867e+001dB,-5.64427855903055e+000°)
1.66352754220533e+003	(4.78093890708950e+001dB,-5.63706208166836e+000°)
1.70227607640474e+003	(4.78455227338797e+001dB,-5.64407006947605e+000°)
1.74192717991215e+003	(4.78802682215256e+001dB,-5.66463375222808e+000°)
1.78250187626748e+003	(4.79136875628508e+001dB,-5.69817812260249e+000°)
1.82402167871181e+003	(4.79458410305124e+001dB,-5.74421515832205e+000°)
1.86650860159397e+003	(4.79767867305729e+001dB,-5.80233790374669e+000°)
1.90998517204286e+003	(4.80065802507344e+001dB,-5.87221534494523e+000°)
1.95447444191161e+003	(4.80352743495090e+001dB,-5.95358801664954e+000°)
1.99999999999999e+003	(4.80629186710279e+001dB,-6.04626428426319e+000°)
2.04658598456150e+003	(4.80895594718808e+001dB,-6.15011724885494e+000°)
2.09425709610179e+003	(4.81152393476056e+001dB,-6.26508222757040e+000°)
2.14303861047520e+003	(4.81399969472497e+001dB,-6.39115476588078e+000°)
2.19295639228636e+003	(4.81638666648714e+001dB,-6.52838914139128e+000°)
2.24403690860391e+003	(4.81868782969434e+001dB,-6.67689732135648e+000°)
2.29630724299375e+003	(4.82090566544084e+001dB,-6.83684833739733e+000°)
2.34979510987905e+003	(4.82304211176176e+001dB,-7.00846804097861e+000°)
2.40452886923481e+003	(4.82509851215673e+001dB,-7.19203920168382e+000°)
2.46053754162475e+003	(4.82707555577469e+001dB,-7.38790190691102e+000°)
2.51785082358832e+003	(4.82897320775129e+001dB,-7.59645421585760e+000°)
2.57649910338625e+003	(4.83079062802174e+001dB,-7.81815301202689e+000°)
2.63651347711280e+003	(4.83252607673458e+001dB,-8.05351498631602e+000°)
2.69792576518329e+003	(4.83417680416699e+001dB,-8.30311766612703e+000°)
2.76076852920575e+003	(4.83573892279321e+001dB,-8.56760038388157e+000°)
2.82507508924549e+003	(4.83720725888879e+001dB,-8.84766504943359e+000°)
2.89087954149184e+003	(4.83857518077476e+001dB,-9.14407655359431e+000°)
2.95821677633640e+003	(4.83983440053086e+001dB,-9.45766258231967e+000°)
3.02712249687240e+003	(4.84097474575981e+001dB,-9.78931256080310e+000°)
3.09763323782494e+003	(4.84198389779670e+001dB,-1.01399753709763e+001°)
3.16978638492221e+003	(4.84284709268041e+001dB,-1.05106553917451e+001°)
3.24362019471784e+003	(4.84354678130670e+001dB,-1.09024062953251e+001°)
3.31917381487510e+003	(4.84406224556350e+001dB,-1.13163218918153e+001°)
3.39648730492347e+003	(4.84436916804438e+001dB,-1.17535231445705e+001°)
3.47560165749873e+003	(4.84443915432793e+001dB,-1.22151402787509e+001°)
3.55655882007782e+003	(4.84423920904026e+001dB,-1.27022886742346e+001°)
3.63940171721994e+003	(4.84373117029504e+001dB,-1.32160369750404e+001°)
3.72417427332571e+003	(4.84287111201924e+001dB,-1.37573655691261e+001°)
3.81092143592647e+003	(4.84160873058899e+001dB,-1.43271133124888e+001°)
3.89968919951606e+003	(4.83988674165237e+001dB,-1.49259101203819e+001°)
3.99052462993773e+003	(4.83764032556209e+001dB,-1.55540928750381e+001°)
4.08347588933903e+003	(4.83479667598815e+001dB,-1.62116020771592e+001°)
4.17859226170805e+003	(4.83127472633959e+001dB,-1.68978569020607e+001°)
4.27592417900444e+003	(4.82698515248962e+001dB,-1.76116069515141e+001°)
4.37552324789908e+003	(4.82183077711879e+001dB,-1.83507601961658e+001°)
4.47744227713665e+003	(4.81570752873776e+001dB,-1.91121885868071e+001°)
4.58173530553552e+003	(4.80850613340962e+001dB,-1.98915157863710e+001°)
