freq,amp,phase
6.30957344480185e+005,-9.88145392410567e+001,-1.69770711565483e+002
6.45654229034647e+005,-9.91773345234610e+001,-1.68143465008673e+002
6.60693448007588e+005,-9.95330167494370e+001,-1.66525256571857e+002
6.76082975391973e+005,-9.98817081960160e+001,-1.64917817431863e+002
6.91830970918928e+005,-1.00223547884266e+002,-1.63322795726700e+002
7.07945784384129e+005,-1.00558690022116e+002,-1.61741747958978e+002
7.24435960074981e+005,-1.00887302339613e+002,-1.60176131873911e+002
7.41310241300908e+005,-1.01209564352292e+002,-1.58627300853512e+002
7.58577575029174e+005,-1.01525665587586e+002,-1.57096499828408e+002
7.76247116628682e+005,-1.01835803807402e+002,-1.55584862671771e+002
7.94328234724271e+005,-1.02140183257270e+002,-1.54093411007531e+002
8.12830516164089e+005,-1.02439012969121e+002,-1.52623054337947e+002
8.31763771102660e+005,-1.02732505140838e+002,-1.51174591374401e+002
8.51138038202365e+005,-1.03020873611633e+002,-1.49748712439944e+002
8.70963589956069e+005,-1.03304332448094e+002,-1.48346002802543e+002
8.91250938133734e+005,-1.03583094651624e+002,-1.46966946793718e+002
9.12010839355898e+005,-1.03857370994139e+002,-1.45611932567723e+002
9.33254300796979e+005,-1.04127368985348e+002,-1.44281257360868e+002
9.54992586021423e+005,-1.04393291971797e+002,-1.42975133118263e+002
9.77237220955797e+005,-1.04655338365210e+002,-1.41693692365390e+002
9.99999999999987e+005,-1.04913700995427e+002,-1.40436994213724e+002
1.02329299228074e+006,-1.05168566581519e+002,-1.39205030402481e+002
1.04712854805089e+006,-1.05420115313320e+002,-1.37997731291814e+002
