Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
4.27592417900444e+003	(4.93271628065708e+001dB,-1.86921590716699e+001°)
4.37552324789908e+003	(4.92853072444451e+001dB,-1.85396683309012e+001°)
4.47744227713665e+003	(4.92442012745473e+001dB,-1.83869848936185e+001°)
4.58173530553552e+003	(4.92038441670807e+001dB,-1.82343351824396e+001°)
4.68845763063981e+003	(4.91642330463681e+001dB,-1.80819429250526e+001°)
4.79766583803895e+003	(4.91253629537793e+001dB,-1.79300283237752e+001°)
4.90941783137003e+003	(4.90872269171797e+001dB,-1.77788072754044e+001°)
5.02377286301913e+003	(4.90498160260489e+001dB,-1.76284906427239e+001°)
5.14079156553769e+003	(4.90131195114312e+001dB,-1.74792835784303e+001°)
5.26053598379073e+003	(4.89771248299142e+001dB,-1.73313849016793e+001°)
5.38306960785379e+003	(4.89418177508565e+001dB,-1.71849865269277e+001°)
5.50845740667629e+003	(4.89071824461386e+001dB,-1.70402729442771e+001°)
5.63676586252887e+003	(4.88732015817495e+001dB,-1.68974207501019e+001°)
5.76806300625317e+003	(4.88398564105816e+001dB,-1.67565982263747e+001°)
5.90241845333273e+003	(4.88071268658574e+001dB,-1.66179649667897e+001°)
6.03990344080399e+003	(4.87749916546741e+001dB,-1.64816715475224e+001°)
6.18059086502713e+003	(4.87434283512117e+001dB,-1.63478592402603e+001°)
6.32455532033671e+003	(4.87124134892099e+001dB,-1.62166597649838e+001°)
6.47187313859252e+003	(4.86819226533826e+001dB,-1.60881950798745e+001°)
6.62262242965177e+003	(4.86519305694962e+001dB,-1.59625772056740e+001°)
6.77688312278400e+003	(4.86224111928972e+001dB,-1.58399080818062e+001°)
6.93473700905058e+003	(4.85933377953298e+001dB,-1.57202794516085e+001°)
7.09626778467146e+003	(4.85646830499365e+001dB,-1.56037727740910e+001°)
7.26156109540197e+003	(4.85364191143843e+001dB,-1.54904591597469e+001°)
7.43070458194339e+003	(4.85085177121042e+001dB,-1.53803993280772e+001°)
7.60378792641117e+003	(4.84809502116722e+001dB,-1.52736435846582e+001°)
7.78090289988555e+003	(4.84536877043979e+001dB,-1.51702318157721e+001°)
7.96214341106988e+003	(4.84267010802175e+001dB,-1.50701934988299e+001°)
8.14760555608219e+003	(4.83999611020161e+001dB,-1.49735477270451e+001°)
8.33738766940664e+003	(4.83734384785266e+001dB,-1.48803032470589e+001°)
8.53159037603179e+003	(4.83471039359686e+001dB,-1.47904585084676e+001°)
8.73031664480325e+003	(4.83209282886058e+001dB,-1.47040017244659e+001°)
8.93367184301919e+003	(4.82948825084034e+001dB,-1.46209109430770e+001°)
9.14176379229743e+003	(4.82689377939746e+001dB,-1.45411541287098e+001°)
9.35470282574389e+003	(4.82430656389980e+001dB,-1.44646892540408e+001°)
9.57260184645269e+003	(4.82172379002830e+001dB,-1.43914644024767e+001°)
9.79557638736884e+003	(4.81914268656471e+001dB,-1.43214178816998e+001°)
1.00237446725454e+004	(4.81656053217521e+001dB,-1.42544783490356e+001°)
1.02572276798272e+004	(4.81397466220241e+001dB,-1.41905649496043e+001°)
1.04961492049954e+004	(4.81138247547577e+001dB,-1.41295874684208e+001°)
1.07406359274050e+004	(4.80878144114731e+001dB,-1.40714464977946e+001°)
1.09908174771524e+004	(4.80616910555620e+001dB,-1.40160336215393e+001°)
1.12468265038069e+004	(4.80354309912205e+001dB,-1.39632316176383e+001°)
1.15087987467430e+004	(4.80090114326252e+001dB,-1.39129146811155e+001°)
1.17768731071117e+004	(4.79824105732676e+001dB,-1.38649486689342e+001°)
1.20511917214871e+004	(4.79556076553118e+001dB,-1.38191913687834e+001°)
1.23319000372295e+004	(4.79285830387977e+001dB,-1.37754927936119e+001°)
1.26191468896038e+004	(4.79013182704581e+001dB,-1.37336955037244e+001°)
1.29130845806930e+004	(4.78737961518700e+001dB,-1.36936349581779e+001°)
1.32138689601518e+004	(4.78460008066123e+001dB,-1.36551398970809e+001°)
1.35216595078395e+004	(4.78179177460508e+001dB,-1.36180327562290e+001°)
1.38366194183786e+004	(4.77895339333255e+001dB,-1.35821301152903e+001°)
1.41589156876826e+004	(4.77608378450715e+001dB,-1.35472431804855e+001°)
1.44887192014997e+004	(4.77318195303630e+001dB,-1.35131783023987e+001°)
1.48262048260182e+004	(4.77024706663347e+001dB,-1.34797375291981e+001°)
1.51715515005835e+004	(4.76727846099049e+001dB,-1.34467191951476e+001°)
1.55249423325737e+004	(4.76427564449991e+001dB,-1.34139185438571e+001°)
1.58865646944855e+004	(4.76123830246589e+001dB,-1.33811283852471e+001°)
1.62566103232818e+004	(4.75816630074117e+001dB,-1.33481397847097e+001°)
1.66352754220533e+004	(4.75505968872791e+001dB,-1.33147427824252e+001°)
1.70227607640474e+004	(4.75191870168123e+001dB,-1.32807271402629e+001°)
1.74192717991215e+004	(4.74874376225665e+001dB,-1.32458831131538e+001°)
1.78250187626748e+004	(4.74553548124584e+001dB,-1.32100022412886e+001°)
1.82402167871180e+004	(4.74229465744944e+001dB,-1.31728781589706e+001°)
1.86650860159397e+004	(4.73902227664141e+001dB,-1.31343074154536e+001°)
1.90998517204286e+004	(4.73571950958584e+001dB,-1.30940903026325e+001°)
1.95447444191160e+004	(4.73238770907502e+001dB,-1.30520316840319e+001°)
2.00000000000000e+004	(4.72902840596592e+001dB,-1.30079418191740e+001°)
