Freq.	V(output)/V(input)
2.57039578276885e+003	(1.99754364153014e+001dB,1.75665857105269e+002°)
2.63026799189537e+003	(1.99743765209677e+001dB,1.75565245115310e+002°)
2.69153480392690e+003	(1.99732669518602e+001dB,1.75462314004021e+002°)
2.75422870333815e+003	(1.99721053934004e+001dB,1.75357011486020e+002°)
2.81838293126444e+003	(1.99708894244716e+001dB,1.75249284181299e+002°)
2.88403150312659e+003	(1.99696165126117e+001dB,1.75139077595879e+002°)
2.95120922666637e+003	(1.99682840090621e+001dB,1.75026336107586e+002°)
3.01995172040200e+003	(1.99668891435654e+001dB,1.74911002948717e+002°)
3.09029543251358e+003	(1.99654290189452e+001dB,1.74793020189061e+002°)
3.16227766016836e+003	(1.99639006054811e+001dB,1.74672328720704e+002°)
3.23593656929627e+003	(1.99623007350379e+001dB,1.74548868242332e+002°)
3.31131121482590e+003	(1.99606260949525e+001dB,1.74422577243967e+002°)
3.38844156139201e+003	(1.99588732216909e+001dB,1.74293392993428e+002°)
3.46736850452530e+003	(1.99570384942052e+001dB,1.74161251520321e+002°)
3.54813389233574e+003	(1.99551181270835e+001dB,1.74026087604980e+002°)
3.63078054770100e+003	(1.99531081633635e+001dB,1.73887834763776e+002°)
3.71535229097171e+003	(1.99510044671386e+001dB,1.73746425239958e+002°)
3.80189396320559e+003	(1.99488027157794e+001dB,1.73601789989715e+002°)
3.89045144994279e+003	(1.99464983919428e+001dB,1.73453858674284e+002°)
3.98107170553495e+003	(1.99440867752540e+001dB,1.73302559651980e+002°)
4.07380277804111e+003	(1.99415629336200e+001dB,1.73147819968313e+002°)
4.16869383470333e+003	(1.99389217142689e+001dB,1.72989565350421e+002°)
4.26579518801591e+003	(1.99361577344913e+001dB,1.72827720204082e+002°)
4.36515832240164e+003	(1.99332653719907e+001dB,1.72662207609908e+002°)
4.46683592150961e+003	(1.99302387548257e+001dB,1.72492949317907e+002°)
4.57088189614873e+003	(1.99270717512499e+001dB,1.72319865756157e+002°)
4.67735141287196e+003	(1.99237579588375e+001dB,1.72142876023897e+002°)
4.78630092322636e+003	(1.99202906936251e+001dB,1.71961897905283e+002°)
4.89778819368444e+003	(1.99166629785276e+001dB,1.71776847868050e+002°)
5.01187233627270e+003	(1.99128675316938e+001dB,1.71587641079381e+002°)
5.12861383991362e+003	(1.99088967542820e+001dB,1.71394191414836e+002°)
5.24807460249770e+003	(1.99047427180101e+001dB,1.71196411477095e+002°)
5.37031796370250e+003	(1.99003971521459e+001dB,1.70994212609220e+002°)
5.49540873857622e+003	(1.98958514303802e+001dB,1.70787504922596e+002°)
5.62341325190346e+003	(1.98910965570680e+001dB,1.70576197317798e+002°)
5.75439937337154e+003	(1.98861231532547e+001dB,1.70360197515305e+002°)
5.88843655355586e+003	(1.98809214424697e+001dB,1.70139412094797e+002°)
6.02559586074354e+003	(1.98754812357020e+001dB,1.69913746521179e+002°)
6.16595001861479e+003	(1.98697919166884e+001dB,1.69683105201494e+002°)
6.30957344480190e+003	(1.98638424262809e+001dB,1.69447391521840e+002°)
6.45654229034652e+003	(1.98576212468935e+001dB,1.69206507906754e+002°)
6.60693448007592e+003	(1.98511163864947e+001dB,1.68960355876346e+002°)
6.76082975391978e+003	(1.98443153622803e+001dB,1.68708836109217e+002°)
6.91830970918932e+003	(1.98372051843828e+001dB,1.68451848520059e+002°)
7.07945784384134e+003	(1.98297723388503e+001dB,1.68189292327546e+002°)
7.24435960074986e+003	(1.98220027710777e+001dB,1.67921066149836e+002°)
7.41310241300913e+003	(1.98138818685349e+001dB,1.67647068088192e+002°)
