x-axis,IN,OUT
second,Volt,Volt
+257.00E-06,+470.62501E-03,+102.42188E-03
+258.00E-06,+470.23438E-03,+103.98438E-03
+259.00E-06,+470.62501E-03,+105.15625E-03
+260.00E-06,+470.62501E-03,+107.10938E-03
+261.00E-06,+470.62501E-03,+108.67188E-03
+262.00E-06,+470.23438E-03,+110.62500E-03
+263.00E-06,+470.62501E-03,+112.18750E-03
+264.00E-06,+470.23438E-03,+114.14063E-03
+265.00E-06,+470.62501E-03,+115.70313E-03
+266.00E-06,+470.62501E-03,+117.26563E-03
+267.00E-06,+470.23438E-03,+118.82813E-03
+268.00E-06,+470.62501E-03,+120.78125E-03
+269.00E-06,+470.62501E-03,+121.95313E-03
+270.00E-06,+470.62501E-03,+123.12500E-03
+271.00E-06,+470.62501E-03,+125.07813E-03
+272.00E-06,+471.01563E-03,+126.25000E-03
+273.00E-06,+471.01563E-03,+128.20313E-03
+274.00E-06,+471.01563E-03,+129.37500E-03
+275.00E-06,+470.62501E-03,+130.54688E-03
+276.00E-06,+470.62501E-03,+132.10938E-03
+277.00E-06,+471.01563E-03,+134.06250E-03
+278.00E-06,+470.62501E-03,+134.84375E-03
+279.00E-06,+471.01563E-03,+136.79688E-03
+280.00E-06,+471.01563E-03,+137.96875E-03
+281.00E-06,+470.62501E-03,+139.92188E-03
+282.00E-06,+470.62501E-03,+141.09375E-03
+283.00E-06,+470.62501E-03,+143.04688E-03
+284.00E-06,+471.01563E-03,+144.21875E-03
+285.00E-06,+471.01563E-03,+145.78125E-03
+286.00E-06,+471.01563E-03,+147.34375E-03
+287.00E-06,+470.62501E-03,+148.90625E-03
+288.00E-06,+471.01563E-03,+150.07813E-03
+289.00E-06,+471.01563E-03,+152.03125E-03
+290.00E-06,+471.01563E-03,+153.20313E-03
+291.00E-06,+471.01563E-03,+154.76563E-03
+292.00E-06,+471.01563E-03,+156.32813E-03
+293.00E-06,+471.01563E-03,+157.50000E-03
+294.00E-06,+471.01563E-03,+159.06250E-03
+295.00E-06,+471.40626E-03,+160.23438E-03
+296.00E-06,+471.40626E-03,+161.79688E-03
+297.00E-06,+471.01563E-03,+163.35938E-03
+298.00E-06,+471.01563E-03,+164.53125E-03
+299.00E-06,+471.40626E-03,+166.09375E-03
+300.00E-06,+471.01563E-03,+167.65625E-03
+301.00E-06,+471.01563E-03,+168.82813E-03
+302.00E-06,+471.01563E-03,+170.00000E-03
+303.00E-06,+471.01563E-03,+170.78125E-03
+304.00E-06,+471.40626E-03,+172.73438E-03
+305.00E-06,+471.01563E-03,+174.29688E-03
+306.00E-06,+471.40626E-03,+175.46875E-03
+307.00E-06,+471.40626E-03,+177.03125E-03
+308.00E-06,+471.01563E-03,+178.59375E-03
+309.00E-06,+471.40626E-03,+180.15625E-03
+310.00E-06,+471.40626E-03,+181.71875E-03
+311.00E-06,+471.01563E-03,+182.89063E-03
+312.00E-06,+471.40626E-03,+184.45313E-03
+313.00E-06,+471.40626E-03,+185.62500E-03
+314.00E-06,+471.40626E-03,+187.18750E-03
+315.00E-06,+471.40626E-03,+187.96875E-03
+316.00E-06,+471.79688E-03,+189.14063E-03
+317.00E-06,+471.40626E-03,+190.70313E-03
+318.00E-06,+471.79688E-03,+191.87500E-03
+319.00E-06,+471.79688E-03,+193.04688E-03
+320.00E-06,+471.40626E-03,+194.21875E-03
+321.00E-06,+471.40626E-03,+195.39063E-03
+322.00E-06,+471.40626E-03,+196.95313E-03
+323.00E-06,+471.40626E-03,+197.73438E-03
+324.00E-06,+471.40626E-03,+198.90625E-03
+325.00E-06,+471.79688E-03,+200.46875E-03
+326.00E-06,+471.01563E-03,+201.64063E-03
+327.00E-06,+471.40626E-03,+202.81250E-03
+328.00E-06,+471.40626E-03,+203.59375E-03
+329.00E-06,+471.79688E-03,+205.15625E-03
+330.00E-06,+471.40626E-03,+206.32813E-03
+331.00E-06,+471.79688E-03,+207.50000E-03
+332.00E-06,+471.79688E-03,+209.06250E-03
+333.00E-06,+471.79688E-03,+210.23438E-03
+334.00E-06,+471.79688E-03,+211.40625E-03
+335.00E-06,+471.79688E-03,+212.18750E-03
+336.00E-06,+471.40626E-03,+213.75000E-03
+337.00E-06,+471.79688E-03,+215.31250E-03
+338.00E-06,+471.79688E-03,+216.09375E-03
+339.00E-06,+471.79688E-03,+217.26563E-03
+340.00E-06,+471.79688E-03,+218.04688E-03
+341.00E-06,+471.79688E-03,+219.21875E-03
+342.00E-06,+471.79688E-03,+220.39063E-03
+343.00E-06,+472.18751E-03,+221.56250E-03
+344.00E-06,+471.79688E-03,+222.34375E-03
+345.00E-06,+471.40626E-03,+223.12500E-03
+346.00E-06,+471.79688E-03,+224.68750E-03
+347.00E-06,+471.79688E-03,+226.25000E-03
+348.00E-06,+471.79688E-03,+227.03125E-03
+349.00E-06,+471.79688E-03,+228.20313E-03
