Freq.	V(input)/I(C1)
6.60693448007595e+003	(5.26537258316679e+001dB,-8.99994546575578e+001°)
6.76082975391980e+003	(5.24528333181886e+001dB,-8.99994418788287e+001°)
6.91830970918935e+003	(5.22518986435159e+001dB,-8.99994287969869e+001°)
7.07945784384136e+003	(5.20509198111441e+001dB,-8.99994154045797e+001°)
7.24435960074989e+003	(5.18498947295542e+001dB,-8.99994016939521e+001°)
7.41310241300916e+003	(5.16488212076468e+001dB,-8.99993876572407e+001°)
7.58577575029182e+003	(5.14476969499504e+001dB,-8.99993732863664e+001°)
7.76247116628690e+003	(5.12465195515956e+001dB,-8.99993585730267e+001°)
7.94328234724280e+003	(5.10452864930409e+001dB,-8.99993435086884e+001°)
8.12830516164097e+003	(5.08439951345387e+001dB,-8.99993280845792e+001°)
8.31763771102669e+003	(5.06426427103281e+001dB,-8.99993122916792e+001°)
8.51138038202374e+003	(5.04412263225397e+001dB,-8.99992961207125e+001°)
8.70963589956079e+003	(5.02397429347985e+001dB,-8.99992795621367e+001°)
8.91250938133744e+003	(5.00381893655082e+001dB,-8.99992626061346e+001°)
9.12010839355908e+003	(4.98365622808003e+001dB,-8.99992452426023e+001°)
9.33254300796989e+003	(4.96348581871315e+001dB,-8.99992274611397e+001°)
9.54992586021434e+003	(4.94330734235094e+001dB,-8.99992092510381e+001°)
9.77237220955809e+003	(4.92312041533279e+001dB,-8.99991906012688e+001°)
9.99999999999998e+003	(4.90292463557903e+001dB,-8.99991715004700e+001°)
1.02329299228075e+004	(4.88271958169002e+001dB,-8.99991519369339e+001°)
1.04712854805090e+004	(4.86250481199937e+001dB,-8.99991318985921e+001°)
1.07151930523760e+004	(4.84227986357913e+001dB,-8.99991113730010e+001°)
1.09647819614318e+004	(4.82204425119416e+001dB,-8.99990903473262e+001°)
1.12201845430196e+004	(4.80179746620286e+001dB,-8.99990688083258e+001°)
1.14815362149688e+004	(4.78153897540145e+001dB,-8.99990467423329e+001°)
1.17489755493953e+004	(4.76126821980861e+001dB,-8.99990241352368e+001°)
1.20226443461741e+004	(4.74098461338709e+001dB,-8.99990009724635e+001°)
1.23026877081238e+004	(4.72068754169877e+001dB,-8.99989772389552e+001°)
1.25892541179416e+004	(4.70037636048957e+001dB,-8.99989529191477e+001°)
1.28824955169313e+004	(4.68005039419995e+001dB,-8.99989279969470e+001°)
1.31825673855640e+004	(4.65970893439689e+001dB,-8.99989024557050e+001°)
1.34896288259165e+004	(4.63935123812287e+001dB,-8.99988762781922e+001°)
1.38038426460288e+004	(4.61897652615679e+001dB,-8.99988494465706e+001°)
1.41253754462275e+004	(4.59858398118194e+001dB,-8.99988219423628e+001°)
1.44543977074592e+004	(4.57817274585526e+001dB,-8.99987937464210e+001°)
1.47910838816820e+004	(4.55774192077222e+001dB,-8.99987648388927e+001°)
1.51356124843620e+004	(4.53729056232078e+001dB,-8.99987351991848e+001°)
1.54881661891248e+004	(4.51681768041800e+001dB,-8.99987048059248e+001°)
1.58489319246111e+004	(4.49632223612184e+001dB,-8.99986736369202e+001°)
1.62181009735893e+004	(4.47580313911050e+001dB,-8.99986416691140e+001°)
1.65958690743756e+004	(4.45525924502111e+001dB,-8.99986088785384e+001°)
1.69824365246174e+004	(4.43468935263880e+001dB,-8.99985752402641e+001°)
1.73780082874937e+004	(4.41409220092657e+001dB,-8.99985407283473e+001°)
1.77827941003892e+004	(4.39346646588585e+001dB,-8.99985053157714e+001°)
1.81970085860998e+004	(4.37281075723656e+001dB,-8.99984689743861e+001°)
1.86208713666286e+004	(4.35212361490490e+001dB,-8.99984316748410e+001°)
1.90546071796324e+004	(4.33140350530597e+001dB,-8.99983933865150e+001°)
1.94984459975804e+004	(4.31064881740754e+001dB,-8.99983540774398e+001°)
1.99526231496887e+004	(4.28985785855994e+001dB,-8.99983137142185e+001°)
2.04173794466952e+004	(4.26902885007596e+001dB,-8.99982722619377e+001°)
2.08929613085403e+004	(4.24815992254339e+001dB,-8.99982296840722e+001°)
2.13796208950222e+004	(4.22724911085129e+001dB,-8.99981859423839e+001°)
2.18776162394954e+004	(4.20629434890947e+001dB,-8.99981409968114e+001°)
2.23872113856833e+004	(4.18529346403897e+001dB,-8.99980948053515e+001°)
2.29086765276777e+004	(4.16424417100946e+001dB,-8.99980473239313e+001°)
2.34422881531991e+004	(4.14314406569726e+001dB,-8.99979985062698e+001°)
2.39883291901948e+004	(4.12199061833534e+001dB,-8.99979483037283e+001°)
2.45470891568502e+004	(4.10078116632422e+001dB,-8.99978966651490e+001°)
2.51188643150957e+004	(4.07951290656967e+001dB,-8.99978435366788e+001°)
2.57039578276885e+004	(4.05818288731010e+001dB,-8.99977888615797e+001°)
2.63026799189537e+004	(4.03678799939294e+001dB,-8.99977325800224e+001°)
2.69153480392691e+004	(4.01532496695537e+001dB,-8.99976746288619e+001°)
2.75422870333816e+004	(3.99379033746070e+001dB,-8.99976149413937e+001°)
2.81838293126444e+004	(3.97218047103652e+001dB,-8.99975534470886e+001°)
2.88403150312660e+004	(3.95049152905568e+001dB,-8.99974900713032e+001°)
2.95120922666637e+004	(3.92871946189501e+001dB,-8.99974247349650e+001°)
3.01995172040200e+004	(3.90685999580012e+001dB,-8.99973573542272e+001°)
3.09029543251358e+004	(3.88490861877690e+001dB,-8.99972878400927e+001°)
3.16227766016837e+004	(3.86286056542216e+001dB,-8.99972160980018e+001°)
3.23593656929627e+004	(3.84071080059627e+001dB,-8.99971420273802e+001°)
3.31131121482590e+004	(3.81845400182995e+001dB,-8.99970655211436e+001°)
3.38844156139201e+004	(3.79608454034549e+001dB,-8.99969864651531e+001°)
3.46736850452530e+004	(3.77359646055891e+001dB,-8.99969047376163e+001°)
3.54813389233574e+004	(3.75098345791439e+001dB,-8.99968202084272e+001°)
3.63078054770100e+004	(3.72823885488463e+001dB,-8.99967327384377e+001°)
3.71535229097171e+004	(3.70535557495119e+001dB,-8.99966421786537e+001°)
3.80189396320560e+004	(3.68232611435610e+001dB,-8.99965483693447e+001°)
3.89045144994279e+004	(3.65914251139039e+001dB,-8.99964511390569e+001°)
3.98107170553496e+004	(3.63579631295543e+001dB,-8.99963503035174e+001°)
4.07380277804111e+004	(3.61227853809957e+001dB,-8.99962456644164e+001°)
4.16869383470334e+004	(3.58857963819326e+001dB,-8.99961370080491e+001°)
4.26579518801591e+004	(3.56468945336129e+001dB,-8.99960241038012e+001°)
4.36515832240164e+004	(3.54059716473894e+001dB,-8.99959067024532e+001°)
4.46683592150961e+004	(3.51629124205898e+001dB,-8.99957845342818e+001°)
4.57088189614873e+004	(3.49175938600676e+001dB,-8.99956573069269e+001°)
4.67735141287196e+004	(3.46698846469965e+001dB,-8.99955247029906e+001°)
4.78630092322636e+004	(3.44196444355230e+001dB,-8.99953863773294e+001°)
4.89778819368444e+004	(3.41667230767836e+001dB,-8.99952419539917e+001°)
5.01187233627270e+004	(3.39109597584877e+001dB,-8.99950910227462e+001°)
5.12861383991362e+004	(3.36521820487292e+001dB,-8.99949331351362e+001°)
5.24807460249770e+004	(3.33902048308695e+001dB,-8.99947677999825e+001°)
5.37031796370250e+004	(3.31248291141719e+001dB,-8.99945944782442e+001°)
5.49540873857622e+004	(3.28558407022895e+001dB,-8.99944125771263e+001°)
5.62341325190346e+004	(3.25830086986197e+001dB,-8.99942214433047e+001°)
5.75439937337154e+004	(3.23060838238330e+001dB,-8.99940203551090e+001°)
5.88843655355586e+004	(3.20247965163989e+001dB,-8.99938085134725e+001°)
6.02559586074355e+004	(3.17388547815041e+001dB,-8.99935850314169e+001°)
6.16595001861479e+004	(3.14479417471359e+001dB,-8.99933489217867e+001°)
6.30957344480190e+004	(3.11517128779977e+001dB,-8.99930990828867e+001°)
6.45654229034652e+004	(3.08497927879408e+001dB,-8.99928342815890e+001°)
6.60693448007593e+004	(3.05417715792386e+001dB,-8.99925531333779e+001°)
6.76082975391979e+004	(3.02272006216381e+001dB,-8.99922540786628e+001°)
6.91830970918933e+004	(2.99055876648345e+001dB,-8.99919353545214e+001°)
7.07945784384134e+004	(2.95763911536840e+001dB,-8.99915949608096e+001°)
7.24435960074987e+004	(2.92390135845603e+001dB,-8.99912306192848e+001°)
7.41310241300914e+004	(2.88927937017092e+001dB,-8.99908397240031e+001°)
7.58577575029180e+004	(2.85369972814284e+001dB,-8.99904192807380e+001°)
7.76247116628688e+004	(2.81708061855360e+001dB,-8.99899658324773e+001°)
7.94328234724277e+004	(2.77933052784739e+001dB,-8.99894753671206e+001°)
8.12830516164095e+004	(2.74034666869407e+001dB,-8.99889432022091e+001°)
8.31763771102667e+004	(2.70001307263514e+001dB,-8.99883638397357e+001°)
8.51138038202372e+004	(2.65819826090733e+001dB,-8.99877307815648e+001°)
8.70963589956076e+004	(2.61475237624713e+001dB,-8.99870362924082e+001°)
8.91250938133741e+004	(2.56950361864018e+001dB,-8.99862710921091e+001°)
9.12010839355905e+004	(2.52225377186813e+001dB,-8.99854239513530e+001°)
9.33254300796986e+004	(2.47277252744345e+001dB,-8.99844811534980e+001°)
9.54992586021431e+004	(2.42079019574638e+001dB,-8.99834257677831e+001°)
9.77237220955805e+004	(2.36598822106616e+001dB,-8.99822366520042e+001°)
9.99999999999995e+004	(2.30798665525474e+001dB,-8.99808870594133e+001°)
1.02329299228075e+005	(2.24632733894206e+001dB,-8.99793426536281e+001°)
