Freq.	V(output)/V(input)
2.51188643150957e-007	(1.10235667111142e+002dB,1.79997037749266e+002°)
2.57039578276885e-007	(1.10235667110595e+002dB,1.79996968749583e+002°)
2.63026799189537e-007	(1.10235667110023e+002dB,1.79996898142690e+002°)
2.69153480392690e-007	(1.10235667109423e+002dB,1.79996825891152e+002°)
2.75422870333815e-007	(1.10235667108794e+002dB,1.79996751956659e+002°)
2.81838293126444e-007	(1.10235667108137e+002dB,1.79996676300011e+002°)
2.88403150312659e-007	(1.10235667107448e+002dB,1.79996598881093e+002°)
2.95120922666637e-007	(1.10235667106727e+002dB,1.79996519658857e+002°)
3.01995172040200e-007	(1.10235667105972e+002dB,1.79996438591298e+002°)
3.09029543251358e-007	(1.10235667105181e+002dB,1.79996355635432e+002°)
3.16227766016836e-007	(1.10235667104353e+002dB,1.79996270747277e+002°)
3.23593656929627e-007	(1.10235667103486e+002dB,1.79996183881822e+002°)
3.31131121482589e-007	(1.10235667102578e+002dB,1.79996094993011e+002°)
3.38844156139201e-007	(1.10235667101627e+002dB,1.79996004033714e+002°)
3.46736850452530e-007	(1.10235667100631e+002dB,1.79995910955702e+002°)
3.54813389233574e-007	(1.10235667099589e+002dB,1.79995815709625e+002°)
3.63078054770100e-007	(1.10235667098497e+002dB,1.79995718244982e+002°)
3.71535229097171e-007	(1.10235667097354e+002dB,1.79995618510096e+002°)
3.80189396320559e-007	(1.10235667096157e+002dB,1.79995516452086e+002°)
3.89045144994279e-007	(1.10235667094904e+002dB,1.79995412016840e+002°)
3.98107170553495e-007	(1.10235667093592e+002dB,1.79995305148984e+002°)
4.07380277804111e-007	(1.10235667092217e+002dB,1.79995195791856e+002°)
4.16869383470333e-007	(1.10235667090778e+002dB,1.79995083887473e+002°)
4.26579518801590e-007	(1.10235667089271e+002dB,1.79994969376502e+002°)
4.36515832240164e-007	(1.10235667087694e+002dB,1.79994852198229e+002°)
4.46683592150961e-007	(1.10235667086041e+002dB,1.79994732290523e+002°)
4.57088189614873e-007	(1.10235667084311e+002dB,1.79994609589807e+002°)
4.67735141287196e-007	(1.10235667082500e+002dB,1.79994484031025e+002°)
4.78630092322636e-007	(1.10235667080603e+002dB,1.79994355547603e+002°)
4.89778819368444e-007	(1.10235667078616e+002dB,1.79994224071418e+002°)
5.01187233627270e-007	(1.10235667076536e+002dB,1.79994089532759e+002°)
5.12861383991362e-007	(1.10235667074358e+002dB,1.79993951860292e+002°)
5.24807460249770e-007	(1.10235667072077e+002dB,1.79993810981021e+002°)
5.37031796370250e-007	(1.10235667069689e+002dB,1.79993666820251e+002°)
5.49540873857621e-007	(1.10235667067189e+002dB,1.79993519301546e+002°)
5.62341325190346e-007	(1.10235667064570e+002dB,1.79993368346688e+002°)
5.75439937337154e-007	(1.10235667061828e+002dB,1.79993213875640e+002°)
5.88843655355586e-007	(1.10235667058957e+002dB,1.79993055806499e+002°)
6.02559586074354e-007	(1.10235667055950e+002dB,1.79992894055455e+002°)
6.16595001861479e-007	(1.10235667052802e+002dB,1.79992728536745e+002°)
6.30957344480190e-007	(1.10235667049505e+002dB,1.79992559162610e+002°)
6.45654229034652e-007	(1.10235667046053e+002dB,1.79992385843244e+002°)
6.60693448007592e-007	(1.10235667042439e+002dB,1.79992208486751e+002°)
6.76082975391978e-007	(1.10235667038654e+002dB,1.79992026999096e+002°)
6.91830970918932e-007	(1.10235667034690e+002dB,1.79991841284050e+002°)
7.07945784384134e-007	(1.10235667030540e+002dB,1.79991651243145e+002°)
7.24435960074986e-007	(1.10235667026194e+002dB,1.79991456775619e+002°)
7.41310241300913e-007	(1.10235667021644e+002dB,1.79991257778362e+002°)
7.58577575029179e-007	(1.10235667016879e+002dB,1.79991054145864e+002°)
