Freq.,Vout.,Phase.
1.99053585276749e+003,2.65273090424363e+001,-4.04238814805071e+000
2.50593616813636e+003,2.65115215655961e+001,-5.66858626732021e+000
3.15478672240097e+003,2.64863589708647e+001,-7.58856614172947e+000
3.97164117362141e+003,2.64466007736768e+001,-9.89668694374653e+000
5.00000000000001e+003,2.63841836500048e+001,-1.27004959765457e+001
6.29462705897085e+003,2.62868944443175e+001,-1.61197465253984e+001
7.92446596230558e+003,2.61367371770973e+001,-2.02808127103046e+001
9.97631157484441e+003,2.59082674648090e+001,-2.53034550715013e+001
1.25594321575479e+004,2.55676825979044e+001,-3.12772634606951e+001
1.58113883008419e+004,2.50740723385518e+001,-3.82290148284452e+001
1.99053585276749e+004,2.43843331019078e+001,-4.60915926348898e+001
2.50593616813637e+004,2.34616876844669e+001,-5.46960626180264e+001
3.15478672240097e+004,2.22843750244065e+001,-6.38065674494901e+001
3.97164117362142e+004,2.08487909035332e+001,-7.31911922671663e+001
5.00000000000001e+004,1.91640485042096e+001,-8.26889334640889e+001
6.29462705897085e+004,1.72411482275425e+001,-9.22305706903062e+001
7.92446596230558e+004,1.50835454829730e+001,-1.01803573318917e+002
9.97631157484442e+004,1.26844192052475e+001,-1.11385098900347e+002
1.25594321575479e+005,1.00320308605457e+001,-1.20881933516293e+002
1.58113883008419e+005,7.12036355929823e+000,-1.30113398439133e+002
1.99053585276749e+005,3.95878051663477e+000,-1.38851533070106e+002
2.50593616813637e+005,5.74535385220696e-001,-1.46895646719863e+002
3.15478672240097e+005,-2.99292927550524e+000,-1.54135030442188e+002
3.97164117362142e+005,-6.70133705720103e+000,-1.60569453283137e+002
5.00000000000000e+005,-1.05132534680952e+001,-1.66292046346758e+002
Step,Information:,Run=7,Run:,7/100
5.00000000000000e+000,-3.86433782466753e+000,-1.51943712709875e+002
6.29462705897084e+000,1.39656301771187e+000,-1.62976346676660e+002
7.92446596230557e+000,6.33036483321889e+000,-1.76582722117802e+002
9.97631157484440e+000,1.08175614317492e+001,1.67431847874199e+002
1.25594321575479e+001,1.47418165647940e+001,1.49568190836536e+002
1.58113883008419e+001,1.80173214338122e+001,1.30642374602671e+002
1.99053585276749e+001,2.06152949482389e+001,1.11664860787985e+002
2.50593616813636e+001,2.25737552808253e+001,9.36188442612496e+001
3.15478672240097e+001,2.39836653773869e+001,7.72486597608491e+001
3.97164117362141e+001,2.49606029696124e+001,6.29607284164255e+001
5.00000000000000e+001,2.56179014167862e+001,5.08507695536232e+001
6.29462705897084e+001,2.60508046386763e+001,4.07994449261415e+001
7.92446596230557e+001,2.63317280163118e+001,3.25734890922971e+001
9.97631157484440e+001,2.65122167448213e+001,2.59005275300424e+001
1.25594321575479e+002,2.66274091209308e+001,2.05132771517090e+001
1.58113883008419e+002,2.67005947546903e+001,1.61706961329220e+001
1.99053585276749e+002,2.67469297817512e+001,1.26650696270036e+001
2.50593616813636e+002,2.67761568063103e+001,9.82169480886838e+000
3.15478672240097e+002,2.67944805286441e+001,7.49522017299423e+000
3.97164117362141e+002,2.68058145247389e+001,5.56481884869811e+000
5.00000000000000e+002,2.68125886637951e+001,3.92924476467953e+000
6.29462705897084e+002,2.68162586442745e+001,2.50220272409828e+000
7.92446596230557e+002,2.68176143233929e+001,1.20814931699985e+000
9.97631157484441e+002,2.68169481140162e+001,-2.15068712436785e-002
1.25594321575479e+003,2.68141179095554e+001,-1.25189895899649e+000
1.58113883008419e+003,2.68085179429305e+001,-2.54799740651110e+000
1.99053585276749e+003,2.67989526629263e+001,-3.97779885227593e+000
2.50593616813636e+003,2.67833905292063e+001,-5.61544799714076e+000
3.15478672240097e+003,2.67585550187614e+001,-7.54422518696527e+000
3.97164117362141e+003,2.67192900484159e+001,-9.85912557633885e+000
5.00000000000001e+003,2.66576236763433e+001,-1.26683791331149e+001
6.29462705897085e+003,2.65614687677773e+001,-1.60926316727640e+001
7.92446596230558e+003,2.64129904649456e+001,-2.02596122704596e+001
9.97631157484441e+003,2.61869202662708e+001,-2.52912558809585e+001
1.25594321575479e+004,2.58495827648161e+001,-3.12805455975875e+001
1.58113883008419e+004,2.53600196457982e+001,-3.82590780601439e+001
1.99053585276749e+004,2.46747274691144e+001,-4.61655724356115e+001
2.50593616813637e+004,2.37560364360639e+001,-5.48365866577795e+001
3.15478672240097e+004,2.25808177469591e+001,-6.40394312834491e+001
3.97164117362142e+004,2.11438285055795e+001,-7.35414437178630e+001
5.00000000000001e+004,1.94525390183790e+001,-8.31763596566567e+001
6.29462705897085e+004,1.75165331370384e+001,-9.28650355846018e+001
7.92446596230558e+004,1.53383658011078e+001,-1.02580103829705e+002
9.97631157484442e+004,1.29113211046406e+001,-1.12279649814627e+002
1.25594321575479e+005,1.02253053529717e+001,-1.21850887020093e+002
1.58113883008419e+005,7.27752040007791e+000,-1.31100087329237e+002
1.99053585276749e+005,4.08123838224534e+000,-1.39798990813669e+002
2.50593616813637e+005,6.66918585314870e-001,-1.47759399852058e+002
3.15478672240097e+005,-2.92441339366812e+000,-1.54889498840244e+002
3.97164117362142e+005,-6.65048061157338e+000,-1.61206780047735e+002
5.00000000000000e+005,-1.04747951320276e+001,-1.66816728505741e+002
Step,Information:,Run=8,Run:,8/100
5.00000000000000e+000,-2.27029877243359e+000,-1.54232908916696e+002
6.29462705897084e+000,2.93007364312749e+000,-1.65673421359497e+002
7.92446596230557e+000,7.78205456392672e+000,-1.79667609073376e+002
9.97631157484440e+000,1.21660327762705e+001,1.64039161852790e+002
1.25594321575479e+001,1.59709832815834e+001,1.46011290732548e+002
1.58113883008419e+001,1.91219053616888e+001,1.27105569950996e+002
1.99053585276749e+001,2.16029650290293e+001,1.08328362164908e+002
2.50593616813636e+001,2.34622640147904e+001,9.06157866197701e+001
3.15478672240097e+001,2.47950269921711e+001,7.46465335107223e+001
3.97164117362141e+001,2.57158426779285e+001,6.07690105907547e+001
5.00000000000000e+001,2.63342455598666e+001,4.90410195419726e+001
6.29462705897084e+001,2.67410704882413e+001,3.93247844859009e+001
7.92446596230557e+001,2.70048874511618e+001,3.13820297045686e+001
9.97631157484440e+001,2.71743125189313e+001,2.49427875983799e+001
1.25594321575479e+002,2.72824136246161e+001,1.97454553464821e+001
1.58113883008419e+002,2.73510797507105e+001,1.55555775486706e+001
1.99053585276749e+002,2.73945441528068e+001,1.21717593366628e+001
2.50593616813636e+002,2.74219509977027e+001,9.42486232849691e+000
3.15478672240097e+002,2.74391205909442e+001,7.17420612160095e+000
3.97164117362141e+002,2.74497207845636e+001,5.30276624892981e+000
5.00000000000000e+002,2.74560244126681e+001,3.71231847772153e+000
6.29462705897084e+002,2.74593861577691e+001,2.31891195541839e+000
7.92446596230557e+002,2.74605295690104e+001,1.04876601880358e+000
9.97631157484441e+002,2.74597013503862e+001,-1.65449784375839e-001
1.25594321575479e+003,2.74567245185357e+001,-1.38804828554924e+000
1.58113883008419e+003,2.74509618177223e+001,-2.68357765484254e+000
1.99053585276749e+003,2.74411829441091e+001,-4.11998425335570e+000
2.50593616813636e+003,2.74253111727834e+001,-5.77172226147747e+000
3.15478672240097e+003,2.74000054219531e+001,-7.72273780751362e+000
3.97164117362141e+003,2.73600137107324e+001,-1.00690448729392e+001
5.00000000000001e+003,2.72972208709560e+001,-1.29202272517151e+001
6.29462705897085e+003,2.71993292431683e+001,-1.63985626745362e+001
7.92446596230558e+003,2.70482050343618e+001,-2.06335625404617e+001
9.97631157484441e+003,2.68181783074497e+001,-2.57488720391859e+001
1.25594321575479e+004,2.64750768148460e+001,-3.18388246981419e+001
1.58113883008419e+004,2.59773893055428e+001,-3.89358082482848e+001
